Date,Exchange_Symbol,Trading_Volume,Volume_Weighted_Average_Price,Open_Price,Close_Price,Highest_Price,Lowest_Price,Unix_Msec_Timestamp,No_of_Transactions
17-08-2021,ALE,113907,70.483,70.49,,,69.78,1.63E+12,2539
17-08-2021,DYHG,27303,58.7215,58.87,,,58.68,1.63E+12,35
17-08-2021,BNY,22523,15.3155,15.34,,,15.17,1.63E+12,97
17-08-2021,ALL,1929682,134.6378,134.11,,,133.694,1.63E+12,20624
17-08-2021,TURN,74100,7.4969,7.53,,,7.42,1.63E+12,160
17-08-2021,NWHM,269318,8.9408,8.94,,,8.94,1.63E+12,810
17-08-2021,TMO,830360,554.6564,553.97,,,552.115,1.63E+12,23185
17-08-2021,SBCF,99789,31.7756,31.78,,,31.44,1.63E+12,1940
17-08-2021,MNTX,20090,7.119,7.19,,,7,1.63E+12,166
17-08-2021,TREC,91857,7.9013,7.86,,,7.8,1.63E+12,767
17-08-2021,NBIX,768197,91.2063,89.9,,,89.2625,1.63E+12,10892
17-08-2021,BPT,63687,3.2114,3.2,,,3.16,1.63E+12,333
17-08-2021,QH,81324,2.5438,2.65,,,2.32,1.63E+12,423
17-08-2021,FTK,146292,1.4479,1.53,,,1.4,1.63E+12,842
17-08-2021,LDI,394747,8.109,8.34,,,8.01,1.63E+12,3476
17-08-2021,FFA,16356,21.069,21.02,,,21,1.63E+12,100
17-08-2021,BDSX,725784,7.8262,6.52,,,6.52,1.63E+12,4594
17-08-2021,DRW,1922,26.6167,26.6,,,26.565,1.63E+12,60
17-08-2021,HLX,950716,3.6525,3.66,,,3.57,1.63E+12,5829
17-08-2021,NVO,967790,104.4429,104.17,,,104,1.63E+12,12946
17-08-2021,NRZpB,10414,25.3708,25.4,,,25.35,1.63E+12,110
17-08-2021,TWOpC,19733,25.1453,25.08,,,25.04,1.63E+12,164
17-08-2021,ETRN,2472260,8.2859,8.25,,,8.12,1.63E+12,13338
17-08-2021,MKD,1877714,0.4757,0.504,,,0.455,1.63E+12,2270
17-08-2021,HBAN,11309915,14.7632,14.83,,,14.56,1.63E+12,44027
17-08-2021,OSG,145310,2.5299,2.54,,,2.51,1.63E+12,530
17-08-2021,SGTX,162524,4.8844,4.88,,,4.75,1.63E+12,1795
17-08-2021,EFA,23442582,80.2144,80.24,,,79.885,1.63E+12,54692
17-08-2021,VSTO,695098,41.4589,42,,,40.661,1.63E+12,8912
17-08-2021,IDCC,144973,70.4882,70.9,,,69.92,1.63E+12,3469
17-08-2021,PCTI,57699,6.4045,6.39,,,6.32,1.63E+12,551
17-08-2021,TNDM,474772,110.1427,108,,,107.6133,1.63E+12,8834
17-08-2021,ROCR,30237,9.8799,9.84,,,9.84,1.63E+12,10
17-08-2021,INFL,212610,29.8294,29.99,,,29.6328,1.63E+12,987
17-08-2021,SPIP,1079779,31.4907,31.55,,,31.43,1.63E+12,1535
17-08-2021,AUS,791889,9.9152,9.89,,,9.88,1.63E+12,832
17-08-2021,HPF,47064,22.5844,22.65,,,22.46,1.63E+12,289
17-08-2021,KHC,4555603,37.7938,37.99,,,37.51,1.63E+12,35759
17-08-2021,AGGY,54964,52.6696,52.63,,,52.63,1.63E+12,300
17-08-2021,BHK,69892,16.6267,16.72,,,16.56,1.63E+12,295
17-08-2021,PDI,290547,28.463,28.53,,,28.3,1.63E+12,1982
17-08-2021,FOXF,173817,152.2401,158.06,,,149.255,1.63E+12,3660
17-08-2021,RBAC,44570,9.7467,9.75,,,9.74,1.63E+12,318
17-08-2021,CCM,7098,2.6836,2.73,,,2.6,1.63E+12,53
17-08-2021,RADA,706144,11.0703,10.95,,,10.68,1.63E+12,3746
17-08-2021,MCAFR,174577,0.3904,0.4,,,0.37,1.63E+12,243
17-08-2021,ESGRP,22008,29.5353,29.75,,,29.37,1.63E+12,175
17-08-2021,MMYT,311266,26.0801,25.91,,,25.3,1.63E+12,4440
17-08-2021,PTIX,1217684,1.8923,1.68,,,1.55,1.63E+12,2303
17-08-2021,GAU,402855,0.8582,0.88,,,0.8501,1.63E+12,1040
17-08-2021,WPGpH,16551,2.4706,2.47,,,2.45,1.63E+12,84
17-08-2021,BSN,15698,9.8534,9.83,,,9.83,1.63E+12,134
17-08-2021,ODFL,333947,278.1818,280.85,,,275.215,1.63E+12,10221
17-08-2021,FRA,117001,13.3486,13.29,,,13.29,1.63E+12,473
17-08-2021,IRBO,47482,42.3144,42.57,,,42.0801,1.63E+12,1114
17-08-2021,QLS,5863,27.651,27.72,,,27.6,1.63E+12,35
17-08-2021,VJET,161914,7.1265,7.42,,,6.75,1.63E+12,1390
17-08-2021,HBM,1435519,6.0547,6.23,,,5.95,1.63E+12,5952
17-08-2021,NAVB,77354,1.5933,1.67,,,1.56,1.63E+12,284
17-08-2021,SHLS,1203218,29.0183,29.13,,,28.62,1.63E+12,17295
17-08-2021,IBMQ,6870,27.5158,27.55,,,27.4805,1.63E+12,31
17-08-2021,TWCBU,10050,9.8704,9.86,,,9.8506,1.63E+12,65
17-08-2021,SIVR,292341,22.8399,22.94,,,22.74,1.63E+12,1291
17-08-2021,MBIO,2012841,2.792,2.65,,,2.65,1.63E+12,6082
17-08-2021,RCG,2107,2.2838,2.31,,,2.25,1.63E+12,17
17-08-2021,FPX,68017,124.6012,124.89,,,123.8556,1.63E+12,653
17-08-2021,NUSC,66319,43.3527,43.65,,,42.9542,1.63E+12,508
17-08-2021,IR,2778137,51.0709,51.97,,,50.67,1.63E+12,26104
17-08-2021,PVAC,263817,16.0074,15.92,,,15.68,1.63E+12,2871
17-08-2021,SOJD,34866,26.6903,26.71,,,26.6439,1.63E+12,201
17-08-2021,SONM,6017103,0.3771,0.4001,,,0.3611,1.63E+12,8313
17-08-2021,DFFN,1432593,0.4866,0.49,,,0.464,1.63E+12,1741
17-08-2021,SPYC,9980,31.8804,32.07,,,31.77,1.63E+12,71
17-08-2021,SANW,24294,3.1768,3.2,,,3.15,1.63E+12,261
17-08-2021,SGOL,604305,17.1377,17.17,,,17.095,1.63E+12,1132
17-08-2021,FCAL,4680,55.2377,55.3,,,55.2,1.63E+12,54
17-08-2021,IBDS,88668,27.132,27.14,,,27.1011,1.63E+12,356
17-08-2021,FLS,533872,39.0111,39.24,,,38.5,1.63E+12,6519
17-08-2021,CEV,9352,14.0446,14.04,,,13.99,1.63E+12,57
17-08-2021,EWK,3569,22.1244,22.15,,,22.1,1.63E+12,65
17-08-2021,DWAS,16483,81.7322,82.82,,,80.85,1.63E+12,232
17-08-2021,SWAN,152661,35.4353,35.56,,,35.31,1.63E+12,1078
17-08-2021,CTS,131556,36.2418,36.79,,,36,1.63E+12,2023
17-08-2021,SQFT,941389,3.7246,3.63,,,3.55,1.63E+12,3458
17-08-2021,MCAD,2616,9.9394,9.93,,,9.93,1.63E+12,13
17-08-2021,LVTX,72799,5.6843,5.73,,,5.53,1.63E+12,545
17-08-2021,WNC,140575,14.8935,15.06,,,14.71,1.63E+12,2757
17-08-2021,CDK,1637314,45.6296,45.82,,,45.185,1.63E+12,15612
17-08-2021,XIN,43700,1.9441,1.95,,,1.92,1.63E+12,280
17-08-2021,TRP,1048676,47.61,47.92,,,47.24,1.63E+12,11890
17-08-2021,ELP,913353,5.7966,5.81,,,5.71,1.63E+12,5910
17-08-2021,FHS,160051,3.6218,3.64,,,3.38,1.63E+12,696
17-08-2021,EWN,301778,50.3956,50.7,,,50.22,1.63E+12,1789
17-08-2021,VCIT,1953365,95.5471,95.56,,,95.4901,1.63E+12,9670
17-08-2021,SGOC,639030,4.4873,4.86,,,4.25,1.63E+12,3729
17-08-2021,NRK,72211,14.3604,14.35,,,14.31,1.63E+12,125
17-08-2021,PGAL,731,11.0114,10.98,,,10.97,1.63E+12,15
17-08-2021,SNOA,167224,5.4172,5.51,,,5.24,1.63E+12,678
17-08-2021,ATHpA,25058,29.7621,29.83,,,29.71,1.63E+12,213
17-08-2021,AIZ,212071,167.0974,166.18,,,165.27,1.63E+12,6285
17-08-2021,NS,339753,15.8426,15.88,,,15.68,1.63E+12,2037
17-08-2021,SAM,435296,627.3199,622.42,,,616.75,1.63E+12,10433
17-08-2021,JPN,6141,32.5017,32.38,,,32.38,1.63E+12,60
17-08-2021,IWY,96226,157.082,157.72,,,156.42,1.63E+12,1206
17-08-2021,EYES,974841,3.4798,3.48,,,3.415,1.63E+12,4428
17-08-2021,EQHpC,17908,25.1936,25.2,,,25.16,1.63E+12,102
17-08-2021,XAIR,203415,7.628,7.82,,,7.46,1.63E+12,1675
17-08-2021,OPI,194933,26.3788,26.36,,,26.01,1.63E+12,2745
17-08-2021,MSI,578443,234.1937,233.9,,,233.21,1.63E+12,12175
17-08-2021,GOL,1596646,6.4478,6.37,,,6.35,1.63E+12,7734
17-08-2021,AMST,545957,1.9004,2.07,,,1.8,1.63E+12,1614
17-08-2021,TME,73763836,7.8384,8.06,,,7.63,1.63E+12,200637
17-08-2021,RWO,76131,53.43,53.56,,,53.2179,1.63E+12,1038
17-08-2021,FMAC.WS,79610,1.3902,1.4,,,1.32,1.63E+12,169
17-08-2021,EOI,47566,19.2236,19.19,,,19.16,1.63E+12,285
17-08-2021,HAS,542057,97.2625,99.4,,,96.25,1.63E+12,10953
17-08-2021,NVEC,26384,68.4772,69.34,,,68,1.63E+12,482
17-08-2021,RSI,1151985,12.6896,13.04,,,12.47,1.63E+12,10377
17-08-2021,ACOR,252685,3.5473,3.37,,,3.37,1.63E+12,1650
17-08-2021,FULC,1762345,21.7304,21.79,,,21.08,1.63E+12,14058
17-08-2021,AXR,15722,13.4931,13.49,,,13.1057,1.63E+12,177
17-08-2021,RUSHA,153490,44.2422,44.8,,,43.8,1.63E+12,2566
17-08-2021,CVGW,168014,51.5154,51.75,,,50.8,1.63E+12,2417
17-08-2021,CLFD,66391,40.2851,40.12,,,39.75,1.63E+12,1182
17-08-2021,FRDM,35349,33.1209,33.25,,,32.96,1.63E+12,278
17-08-2021,JMP,65650,7.1568,7.26,,,7.0164,1.63E+12,384
17-08-2021,EFL,49307,9.3907,9.46,,,9.36,1.63E+12,112
17-08-2021,PTRA,3726740,9.4993,9.71,,,9.26,1.63E+12,25911
17-08-2021,ACAH,52623,9.65,9.65,,,9.65,1.63E+12,69
17-08-2021,RACE,501493,220.5485,222.83,,,218.585,1.63E+12,7410
17-08-2021,JELD,2452266,28.2761,28.66,,,27.85,1.63E+12,16944
17-08-2021,ISEM,5667,28.4606,28.41,,,28.41,1.63E+12,21
17-08-2021,RLJ,538118,13.8807,14.09,,,13.63,1.63E+12,5605
17-08-2021,FELE,169129,81.9407,82.61,,,80.95,1.63E+12,3167
17-08-2021,CORRpA,10513,24.3213,24.28,,,24.26,1.63E+12,78
17-08-2021,AEHR,524431,5.2856,5.21,,,5.08,1.63E+12,2904
17-08-2021,HIGA,11391,9.721,9.72,,,9.71,1.63E+12,103
17-08-2021,MQY,96180,16.7138,16.69,,,16.67,1.63E+12,209
17-08-2021,SASR,135413,42.9048,43.09,,,42.48,1.63E+12,1572
17-08-2021,BRMK,616386,10.4404,10.45,,,10.39,1.63E+12,4003
17-08-2021,FMNB,55302,15.7896,15.99,,,15.6,1.63E+12,726
17-08-2021,BNDW,17513,81.0038,80.99,,,80.945,1.63E+12,477
17-08-2021,ALLT,214613,15.7104,15.71,,,15.61,1.63E+12,988
17-08-2021,SPXB,2497,92.3214,92.3,,,92.26,1.63E+12,23
17-08-2021,DOG,517191,33.1571,33.07,,,33.02,1.63E+12,1208
17-08-2021,MOAT,361699,75.8009,75.92,,,75.48,1.63E+12,3023
17-08-2021,MCHX,66660,2.9434,2.98,,,2.9,1.63E+12,356
17-08-2021,MU,17510803,70.4696,70.17,,,69.613,1.63E+12,132376
17-08-2021,BLDP,3188535,14.6772,14.83,,,14.44,1.63E+12,27557
17-08-2021,EIS,5553,68.1119,68.5,,,67.92,1.63E+12,88
17-08-2021,ALGN,610339,677.1799,690.78,,,669.31,1.63E+12,18678
17-08-2021,NYMX,552768,1.7907,1.73,,,1.69,1.63E+12,1432
17-08-2021,SFIX,1692264,40.043,41.45,,,39.51,1.63E+12,21189
17-08-2021,RGR,76926,80.1193,80.92,,,79.61,1.63E+12,2230
